'Aeroeste'
'Aero Gen'
'Avior Airlines'
'Aeroel Airways'
'Aeromar'
'Aeroitalia'
'Aerodan'
'AeroRep'
'Aerolineas Del Pacifico'
'Aero Roca'
'Aerotransportes Internacionales De Torreon'
'Acvila Air-Romanian Carrier'
'Aerolineas Ejecutivas Tarascas'
'Aero-Service'
'Aerosur'
'Aeronorte'
'Artis'
'Arhabaev Tourism Airlines'
'Air Turquoise'
'Aerotucan'
'Air Anastasia'
'Air Rum'
'ACT Havayollari'
'Air VIP'
'Aircompany Veteran'
'Alliance Express Rwanda'
'Arrow Ecuador Arrowec'
'Aerogroup 98 Limited'
'Aeroxtra'
'Express Air Charter'
'Air Whitsunday'
